,Unnamed: 0,player,player_url,rnd,pick,tm,pos,age,college,height_in,weight_lb,height_cm,weight_kg
176,176,Puka Nacua,https://www.pro-football-reference.com/players/N/NacuPu00.htm,5,177,LAR,WR,22.0,BYU,74.0,205.0,188.0,92.0
177,177,Eric Scott,https://www.pro-football-reference.com/players/S/ScotEr00.htm,6,178,DAL,DB,25.0,Southern Miss,72.0,197.0,183.0,89.0
178,178,Karl Brooks,https://www.pro-football-reference.com/players/B/BrooKa00.htm,6,179,GNB,DT,23.0,Bowling Green,75.0,296.0,190.0,134.0
179,179,Kei'Trel Clark,https://www.pro-football-reference.com/players/C/ClarKe02.htm,6,180,ARI,DB,22.0,Louisville,70.0,181.0,178.0,82.0
180,180,Josh Hayes,https://www.pro-football-reference.com/players/H/HayeJo01.htm,6,181,TAM,CB,24.0,Kansas St.,71.0,197.0,180.0,89.0
181,181,Tre'Vius Tomlinson,https://www.pro-football-reference.com/players/H/HodgTr00.htm,6,182,LAR,CB,22.0,TCU,69.0,180.0,175.0,81.0
182,182,JL Skinner,https://www.pro-football-reference.com/players/S/SkinJL00.htm,6,183,DEN,S,22.0,Boise St.,76.0,220.0,193.0,99.0
183,183,Zaire Barnes,https://www.pro-football-reference.com/players/B/BarnZa00.htm,6,184,NYJ,LB,24.0,Western Michigan,73.0,232.0,185.0,105.0
184,184,Parker Washington,https://www.pro-football-reference.com/players/W/WashPa01.htm,6,185,JAX,WR,21.0,Penn St.,70.0,212.0,178.0,96.0
185,185,Jaelyn Duncan,https://www.pro-football-reference.com/players/D/DuncJa00.htm,6,186,TEN,OL,23.0,Maryland,78.0,306.0,198.0,138.0
186,186,Kayshon Boutte,https://www.pro-football-reference.com/players/B/BoutKa00.htm,6,187,NWE,WR,21.0,LSU,72.0,197.0,183.0,89.0
187,187,Tanner McKee,https://www.pro-football-reference.com/players/M/McKeTa01.htm,6,188,PHI,QB,23.0,Stanford,78.0,231.0,198.0,104.0
188,188,Ochaun Mathis,https://www.pro-football-reference.com/players/M/MathOc00.htm,6,189,LAR,DE,24.0,Nebraska,77.0,260.0,196.0,117.0
189,189,Luke Wypler,https://www.pro-football-reference.com/players/W/WyplLu00.htm,6,190,CLE,OL,22.0,Ohio St.,75.0,303.0,190.0,137.0
190,190,Trey Palmer,https://www.pro-football-reference.com/players/P/PalmTr00.htm,6,191,TAM,WR,22.0,Nebraska,72.0,192.0,183.0,87.0
191,191,Bryce Baringer,https://www.pro-football-reference.com/players/B/BariBr00.htm,6,192,NWE,P,24.0,Michigan St.,75.0,215.0,190.0,97.0
